Date, Open, High, Low, Close
11/13/24, 2.100, 2.110, 2.094, 2.109
11/12/24, 2.123, 2.123, 2.100, 2.100
11/11/24, 2.123, 2.128, 2.123, 2.123
11/08/24, 2.136, 2.138, 2.123, 2.123
11/07/24, 2.139, 2.142, 2.121, 2.136
11/06/24, 2.136, 2.144, 2.127, 2.139
11/05/24, 2.142, 2.146, 2.131, 2.136
11/04/24, 2.140, 2.143, 2.137, 2.142
11/01/24, 2.147, 2.150, 2.136, 2.140
10/31/24, 2.157, 2.177, 2.147, 2.147
10/30/24, 2.159, 2.160, 2.154, 2.157
10/29/24, 2.161, 2.173, 2.153, 2.159
10/28/24, 2.159, 2.169, 2.159, 2.161
10/25/24, 2.165, 2.168, 2.159, 2.159
10/24/24, 2.163, 2.170, 2.149, 2.165
10/23/24, 2.152, 2.174, 2.152, 2.163
10/22/24, 2.135, 2.153, 2.122, 2.152
10/21/24, 2.134, 2.141, 2.131, 2.135
10/18/24, 2.124, 2.140, 2.107, 2.134
10/17/24, 2.147, 2.147, 2.119, 2.124
10/16/24, 2.143, 2.150, 2.140, 2.147
10/15/24, 2.152, 2.157, 2.142, 2.143
10/14/24, 2.152, 2.162, 2.149, 2.152
10/11/24, 2.154, 2.162, 2.140, 2.152
10/10/24, 2.184, 2.205, 2.151, 2.154
10/09/24, 2.213, 2.219, 2.184, 2.184
10/08/24, 2.179, 2.237, 2.157, 2.213
10/07/24, 2.179, 2.179, 2.179, 2.179
10/03/24, 2.179, 2.179, 2.179, 2.179
10/02/24, 2.179, 2.179, 2.179, 2.179
10/01/24, 2.179, 2.179, 2.179, 2.179
09/30/24, 2.165, 2.251, 2.165, 2.179
09/27/24, 2.089, 2.172, 2.089, 2.165
09/26/24, 2.059, 2.089, 2.045, 2.089
09/25/24, 2.088, 2.091, 2.055, 2.059
09/24/24, 2.054, 2.088, 2.024, 2.088
09/23/24, 2.057, 2.057, 2.046, 2.054
09/20/24, 2.058, 2.067, 2.054, 2.057
09/19/24, 2.052, 2.064, 2.036, 2.058
