Date, Open, High, Low, Close
11/12/24, 2.358, 2.389, 2.328, 2.366
11/11/24, 2.424, 2.424, 2.352, 2.358
11/08/24, 2.449, 2.449, 2.389, 2.424
11/07/24, 2.411, 2.479, 2.406, 2.449
11/06/24, 2.516, 2.516, 2.369, 2.411
11/05/24, 2.477, 2.519, 2.477, 2.516
11/04/24, 2.479, 2.524, 2.461, 2.477
11/01/24, 2.527, 2.527, 2.442, 2.479
10/31/24, 2.480, 2.570, 2.480, 2.527
10/30/24, 2.377, 2.495, 2.353, 2.480
10/29/24, 2.329, 2.389, 2.325, 2.377
10/28/24, 2.344, 2.392, 2.298, 2.329
10/25/24, 2.310, 2.359, 2.308, 2.344
10/24/24, 2.337, 2.337, 2.266, 2.310
10/23/24, 2.393, 2.393, 2.325, 2.337
10/22/24, 2.378, 2.424, 2.360, 2.393
10/21/24, 2.297, 2.382, 2.297, 2.378
10/18/24, 2.350, 2.356, 2.295, 2.297
10/17/24, 2.365, 2.399, 2.343, 2.350
10/16/24, 2.410, 2.410, 2.362, 2.365
10/15/24, 2.448, 2.448, 2.397, 2.410
10/14/24, 2.459, 2.471, 2.426, 2.448
10/11/24, 2.461, 2.484, 2.436, 2.459
10/10/24, 2.457, 2.505, 2.457, 2.461
10/09/24, 2.425, 2.458, 2.418, 2.457
10/08/24, 2.446, 2.446, 2.400, 2.425
10/07/24, 2.399, 2.460, 2.399, 2.446
10/04/24, 2.296, 2.404, 2.296, 2.399
10/03/24, 2.267, 2.311, 2.257, 2.296
10/02/24, 2.253, 2.302, 2.248, 2.267
10/01/24, 2.333, 2.333, 2.222, 2.253
09/30/24, 2.330, 2.394, 2.305, 2.333
09/27/24, 2.362, 2.394, 2.302, 2.330
09/26/24, 2.365, 2.380, 2.312, 2.362
09/25/24, 2.330, 2.370, 2.330, 2.365
09/24/24, 2.410, 2.416, 2.323, 2.330
09/23/24, 2.472, 2.472, 2.388, 2.410
09/20/24, 2.449, 2.484, 2.421, 2.472
09/19/24, 2.481, 2.487, 2.440, 2.449
09/18/24, 2.439, 2.488, 2.431, 2.481
09/17/24, 2.390, 2.444, 2.369, 2.439
09/16/24, 2.425, 2.438, 2.390, 2.390
09/13/24, 2.444, 2.445, 2.392, 2.425
09/12/24, 2.378, 2.449, 2.378, 2.444
09/11/24, 2.429, 2.429, 2.368, 2.378
09/10/24, 2.456, 2.472, 2.429, 2.429
09/09/24, 2.475, 2.521, 2.450, 2.456
09/06/24, 2.550, 2.550, 2.461, 2.475
09/05/24, 2.575, 2.586, 2.532, 2.550
09/04/24, 2.626, 2.626, 2.558, 2.575
