Date, Open, High, Low, Close
11/13/24,6.717,6.742,6.717,6.727
11/12/2024,6.719,6.74,6.715,6.74
11/11/2024,6.713,6.738,6.713,6.723
11/08/2024,6.73,6.738,6.713,6.713
11/07/2024,6.728,6.745,6.728,6.738
11/06/2024,6.726,6.819,6.726,6.728
11/05/2024,6.747,6.747,6.726,6.726
11/04/2024,6.734,6.747,6.734,6.747
10/31/24,6.715,6.734,6.715,6.734
10/30/24,6.723,6.723,6.7,6.7
10/29/24,6.741,6.773,6.719,6.73
10/28/24,6.712,6.765,6.712,6.743
10/25/24,6.71,6.726,6.71,6.712
10/24/24,6.704,6.721,6.704,6.712
10/23/24,6.702,6.704,6.69,6.69
10/22/24,6.664,6.805,6.664,6.681
10/21/24,6.648,6.664,6.648,6.664
10/18/24,6.636,6.648,6.636,6.648
10/17/24,6.638,6.638,6.636,6.636
10/16/24,6.632,6.634,6.632,6.634
10/15/24,6.645,6.647,6.627,6.632
10/14/24,6.642,6.85,6.602,6.85
10/11/2024,6.631,6.665,6.631,6.636
10/10/2024,6.642,6.649,6.635,6.635
10/09/2024,6.677,6.677,6.649,6.649
10/08/2024,6.711,6.711,6.654,6.681
10/07/2024,6.68,6.711,6.654,6.711
10/04/2024,6.651,6.669,6.651,6.652
10/03/2024,6.651,6.651,6.639,6.639
10/01/2024,6.668,6.679,6.651,6.651
09/30/24,6.673,6.704,6.659,6.704
09/27/24,6.701,6.838,6.659,6.673
09/26/24,6.709,6.709,6.682,6.682
09/25/24,6.713,6.713,6.709,6.709
09/24/24,6.711,6.711,6.702,6.702
09/23/24,6.674,6.697,6.674,6.697
09/20/24,6.689,6.709,6.674,6.674
09/19/24,6.708,6.708,6.689,6.689
09/17/24,6.695,6.697,6.69,6.69
09/16/24,6.697,6.745,6.697,6.745
09/13/24,6.732,6.734,6.697,6.697
09/12/2024,6.742,6.744,6.73,6.734
09/11/2024,6.74,6.776,6.74,6.742
09/10/2024,6.765,6.767,6.753,6.753
09/09/2024,6.784,6.806,6.784,6.806
09/06/2024,6.769,6.784,6.744,6.744
09/05/2024,6.762,6.784,6.762,6.767
09/04/2024,6.767,6.769,6.759,6.759
09/03/2024,6.77,6.778,6.767,6.767
09/02/2024,6.763,6.792,6.763,6.771
08/30/24,6.771,6.773,6.763,6.764
08/29/24,6.769,6.772,6.769,6.772
08/28/24,6.767,6.784,6.767,6.77
08/27/24,6.765,6.782,6.765,6.767
08/26/24,6.774,6.78,6.766,6.766
08/23/24,6.767,6.781,6.767,6.781
08/22/24,6.773,6.785,6.767,6.767
08/21/24,6.768,6.783,6.768,6.777
08/20/24,6.799,6.799,6.771,6.771
08/19/24,6.81,6.81,6.786,6.786
08/16/24,6.772,6.81,6.772,6.81
08/14/24,6.768,6.779,6.768,6.772
08/13/24,6.758,6.788,6.758,6.788
08/12/2024,6.774,6.774,6.773,6.773
08/09/2024,6.843,6.843,6.777,6.777
08/08/2024,6.763,6.843,6.763,6.843
08/07/2024,6.774,6.774,6.763,6.763
08/06/2024,6.772,6.8,6.772,6.774
08/05/2024,6.809,6.809,6.772,6.772
08/02/2024,6.842,6.848,6.809,6.809
08/01/2024,6.827,6.842,6.827,6.842
07/31/24,6.835,6.86,6.827,6.827
07/30/24,6.822,6.835,6.822,6.835
07/29/24,6.83,6.838,6.83,6.838
07/26/24,6.863,6.863,6.83,6.856
07/25/24,6.88,6.88,6.863,6.863
07/24/24,6.908,6.908,6.88,6.88
07/23/24,6.892,6.941,6.892,6.897
07/22/24,6.91,6.939,6.908,6.908
07/18/24,6.904,6.906,6.887,6.887
07/17/24,6.904,6.904,6.904,6.904
07/16/24,6.906,6.923,6.904,6.904
07/15/24,6.955,6.955,6.925,6.932
07/12/2024,6.955,6.98,6.948,6.948
07/11/2024,6.925,6.955,6.917,6.917
07/10/2024,6.938,6.953,6.925,6.925
07/09/2024,6.941,6.945,6.941,6.942
07/08/2024,6.953,6.955,6.94,6.94
07/05/2024,6.96,6.989,6.953,6.989
07/04/2024,6.958,6.966,6.958,6.96
07/03/2024,6.971,6.971,6.964,6.964
07/02/2024,6.972,6.993,6.972,6.98
07/01/2024,6.995,6.995,6.972,6.972
06/28/24,6.974,7.001,6.974,7.001
06/27/24,6.993,6.993,6.977,6.977
06/26/24,6.965,6.993,6.965,6.993
06/25/24,6.98,6.989,6.973,6.973
06/24/24,6.963,6.995,6.963,6.989
06/21/24,6.969,6.975,6.969,6.969
06/20/24,6.991,6.999,6.975,6.975
06/19/24,6.995,6.996,6.99,6.991
06/18/24,6.994,6.995,6.994,6.995
06/16/24,6.994,6.994,6.994,6.994
06/14/24,6.992,6.994,6.992,6.994
06/13/24,6.997,6.998,6.986,6.998
06/12/2024,7.006,7.006,6.996,6.996
06/11/2024,7.004,7.012,6.997,6.997
06/10/2024,7.002,7.034,7.002,7.034
06/07/2024,7.02,7.068,7.005,7.007
06/06/2024,7.045,7.05,7.038,7.038
06/05/2024,7.094,7.149,7.078,7.078
06/04/2024,7.014,7.086,7.014,7.058
06/03/2024,7.019,7.026,6.997,6.997
05/31/24,7.025,7.025,7.024,7.024
05/30/24,7.025,7.084,7.013,7.019
05/29/24,7.011,7.137,7.011,7.084
05/28/24,7.015,7.076,7.005,7.011
05/27/24,7.013,7.044,7.013,7.015
05/24/24,7.095,7.095,7.001,7.013
05/22/24,7.032,7.044,7.025,7.031
05/21/24,7.054,7.056,7.03,7.032
05/19/24,7.054,7.054,7.054,7.054
05/17/24,7.051,7.065,7.051,7.054
05/16/24,7.08,7.08,7.051,7.051
05/15/24,7.072,7.086,7.072,7.08
05/14/24,7.079,7.089,7.078,7.078
05/13/24,7.086,7.088,7.07,7.079
05/10/2024,7.097,7.109,7.086,7.086
05/09/2024,7.095,7.103,7.095,7.097
05/08/2024,7.109,7.153,7.101,7.101
05/07/2024,7.086,7.093,7.074,7.093
05/06/2024,7.13,7.13,7.086,7.092
05/03/2024,7.13,7.135,7.118,7.13
05/02/2024,7.145,7.145,7.128,7.14
04/30/24,7.14,7.151,7.14,7.145
04/29/24,7.145,7.164,7.141,7.141
04/26/24,7.156,7.173,7.145,7.145
04/25/24,7.143,7.167,7.143,7.156
04/24/24,7.146,7.146,7.136,7.143
04/23/24,7.139,7.152,7.139,7.152
04/22/24,7.16,7.161,7.139,7.139
04/19/24,7.126,7.148,7.126,7.148
04/18/24,7.152,7.152,7.098,7.131
04/16/24,7.109,7.169,7.109,7.169
04/15/24,7.13,7.193,7.109,7.109
04/12/2024,7.069,7.13,7.069,7.13
04/10/2024,7.101,7.101,7.069,7.069
04/08/2024,7.061,7.101,7.061,7.101
04/05/2024,7.03,7.094,7.03,7.077
04/04/2024,7.036,7.071,7.022,7.033
04/03/2024,7.051,7.058,7.051,7.058
04/02/2024,7.027,7.062,7.027,7.04
03/31/24,7.027,7.027,7.027,7.027
03/28/24,7.078,7.078,7.071,7.071
03/27/24,7.097,7.101,7.079,7.079
03/26/24,7.079,7.099,7.079,7.099
03/24/24,7.079,7.079,7.079,7.079
03/22/24,7.045,7.086,7.045,7.079
03/21/24,7.076,7.076,7.062,7.062
03/20/24,7.101,7.145,7.065,7.145
03/19/24,7.092,7.112,7.09,7.11
03/18/24,7.054,7.099,7.054,7.099
03/15/24,7.042,7.07,7.042,7.063
03/14/24,7.041,7.051,7.041,7.051
03/13/24,7.023,7.045,7.023,7.036
03/12/2024,7.024,7.028,7.023,7.023
03/11/2024,7.03,7.031,7.029,7.031
03/07/2024,7.027,7.037,7.027,7.03
03/06/2024,7.031,7.033,7.027,7.027
03/05/2024,7.034,7.034,7.031,7.031
03/04/2024,7.044,7.044,7.034,7.034
03/01/2024,7.021,7.044,7.021,7.044
02/29/24,7.023,7.023,7.021,7.021
02/28/24,7.03,7.05,7.023,7.023
02/27/24,7.041,7.043,7.027,7.03
02/26/24,7.06,7.12,7.041,7.041
02/23/24,7.02,7.066,7.02,7.06
02/22/24,7.022,7.05,7.018,7.018
02/21/24,7.041,7.11,7.011,7.022
02/20/24,7.081,7.081,7.051,7.051
02/16/24,7.079,7.159,7.06,7.06
02/15/24,7.077,7.085,7.077,7.079
02/14/24,7.065,7.097,7.065,7.097
02/13/24,7.04,7.07,7.04,7.065
02/12/2024,7.051,7.053,7.04,7.04
02/09/2024,7.01,7.051,7.01,7.051
02/08/2024,7.023,7.061,7.01,7.01
02/07/2024,7.011,7.028,7.011,7.023
02/06/2024,7.051,7.057,7.027,7.027
02/05/2024,7.003,7.051,7.003,7.051
02/02/2024,7.004,7.044,7.003,7.044
02/01/2024,7.034,7.074,7.017,7.018
01/31/24,7.045,7.047,7.006,7.006
01/30/24,7.053,7.066,7.035,7.035
01/29/24,7.018,7.054,7.018,7.035
01/25/24,7.042,7.12,7.042,7.12
01/24/24,7.035,7.077,7.022,7.022
01/23/24,7.037,7.086,7.035,7.035
01/21/24,7.037,7.037,7.037,7.037
01/19/24,7.032,7.097,7.032,7.037
01/18/24,7.03,7.097,7.03,7.032
01/17/24,7.012,7.095,7.012,7.03
01/16/24,7.012,7.052,7.012,7.012
01/15/24,7.034,7.097,7.012,7.012
01/12/2024,7.04,7.04,7.034,7.034
01/11/2024,7.034,7.073,7.034,7.071
01/10/2024,7.052,7.061,7.034,7.034
01/09/2024,7.073,7.073,7.052,7.052
01/08/2024,7.078,7.085,7.071,7.073
01/05/2024,7.067,7.078,7.067,7.078
01/04/2024,7.073,7.073,7.054,7.071
01/03/2024,7.07,7.077,7.068,7.073
01/02/2024,7.082,7.084,7.07,7.07
01/01/2024,7.086,7.103,7.082,7.082
12/29/23,7.098,7.111,7.072,7.086
12/28/23,7.091,7.103,7.088,7.103
12/27/23,7.08,7.091,7.08,7.082
12/26/23,7.083,7.114,7.083,7.085
12/24/23,7.083,7.083,7.083,7.083
12/22/23,7.106,7.106,7.077,7.083
12/21/23,7.07,7.072,7.057,7.057
12/20/23,7.069,7.075,7.069,7.07
12/19/23,7.072,7.078,7.059,7.059
12/18/23,7.065,7.086,7.065,7.082
12/15/23,7.109,7.124,7.061,7.061
12/14/23,7.197,7.197,7.119,7.124
12/13/23,7.207,7.207,7.197,7.197
12/12/2023,7.22,7.26,7.212,7.212
12/11/2023,7.221,7.272,7.22,7.22
12/08/2023,7.197,7.267,7.197,7.228
12/07/2023,7.179,7.197,7.179,7.197
12/06/2023,7.226,7.229,7.193,7.193
12/05/2023,7.236,7.236,7.226,7.226
12/04/2023,7.254,7.33,7.254,7.33
12/01/2023,7.222,7.254,7.222,7.226
11/30/23,7.239,7.243,7.222,7.222
11/29/23,7.257,7.296,7.239,7.239
11/28/23,7.268,7.293,7.234,7.257
11/26/23,7.268,7.268,7.268,7.268
11/24/23,7.288,7.303,7.268,7.268
11/23/23,7.214,7.288,7.214,7.288
11/22/23,7.598,7.598,7.425,7.425
11/21/23,7.488,7.598,7.488,7.598
11/20/23,7.441,7.488,7.441,7.488
11/17/23,7.228,7.441,7.228,7.441
11/16/23,7.19,7.228,7.19,7.228
11/15/23,7.252,7.252,7.19,7.19
11/13/23,7.207,7.252,7.207,7.252
11/10/2023,7.169,7.207,7.169,7.207
11/09/2023,7.186,7.186,7.169,7.169
11/08/2023,7.231,7.231,7.186,7.186
11/07/2023,7.282,7.282,7.245,7.245
11/06/2023,7.285,7.285,7.282,7.282
11/03/2023,7.309,7.309,7.285,7.285
11/02/2023,7.333,7.333,7.309,7.309
11/01/2023,7.332,7.38,7.244,7.244
10/31/23,7.373,7.373,7.332,7.332
10/30/23,7.305,7.373,7.305,7.373
10/27/23,7.328,7.328,7.305,7.305
10/26/23,7.318,7.342,7.315,7.342
10/25/23,7.352,7.359,7.352,7.359
10/24/23,7.352,7.352,7.352,7.352
10/23/23,7.328,7.352,7.328,7.352
10/20/23,7.317,7.334,7.317,7.328
10/19/23,7.301,7.351,7.301,7.317
10/18/23,7.31,7.367,7.291,7.301
10/17/23,7.34,7.34,7.33,7.33
10/16/23,7.383,7.383,7.34,7.34
10/13/23,7.346,7.383,7.346,7.383
10/12/2023,7.33,7.346,7.33,7.346
10/11/2023,7.32,7.33,7.32,7.33
10/10/2023,7.349,7.349,7.326,7.326
10/09/2023,7.346,7.369,7.346,7.349
10/05/2023,7.221,7.251,7.221,7.251
10/04/2023,7.179,7.254,7.179,7.221
10/03/2023,7.215,7.218,7.179,7.179
10/01/2023,7.215,7.215,7.215,7.215
09/29/23,7.235,7.235,7.215,7.215
09/28/23,7.219,7.219,7.215,7.215
09/27/23,7.171,7.219,7.171,7.219
09/26/23,7.161,7.19,7.161,7.171
09/25/23,7.158,7.174,7.155,7.155
09/22/23,7.211,7.211,7.177,7.177
09/21/23,7.159,7.213,7.159,7.194
09/20/23,7.169,7.169,7.159,7.159
09/18/23,7.15,7.205,7.15,7.15
09/15/23,7.129,7.169,7.125,7.15
09/14/23,7.201,7.201,7.129,7.129
09/13/23,7.148,7.201,7.148,7.201
09/12/2023,7.151,7.151,7.148,7.148
09/11/2023,7.161,7.161,7.151,7.151
09/08/2023,7.233,7.233,7.142,7.148
09/07/2023,7.218,7.233,7.218,7.233
09/06/2023,7.164,7.218,7.164,7.218
09/05/2023,7.119,7.165,7.119,7.164
09/04/2023,7.116,7.175,7.116,7.119
09/01/2023,7.145,7.145,7.134,7.134
08/31/23,7.148,7.151,7.132,7.145
08/30/23,7.123,7.148,7.123,7.148
08/29/23,7.164,7.164,7.123,7.123
08/28/23,7.161,7.164,7.161,7.164
08/25/23,7.134,7.173,7.134,7.173
08/24/23,7.143,7.143,7.115,7.119
08/23/23,7.177,7.211,7.131,7.131
08/22/23,7.199,7.22,7.177,7.177
08/21/23,7.165,7.223,7.165,7.209
08/18/23,7.236,7.236,7.165,7.165
08/16/23,7.172,7.172,7.172,7.172
08/15/23,7.172,7.172,7.172,7.172
08/14/23,7.249,7.249,7.197,7.197
08/11/2023,7.102,7.249,7.102,7.249
08/10/2023,7.093,7.102,7.093,7.102
08/09/2023,7.067,7.105,7.067,7.069
08/08/2023,7.094,7.15,7.091,7.091
08/07/2023,7.145,7.145,7.076,7.076
08/04/2023,7.101,7.145,7.101,7.145
08/03/2023,7.051,7.101,7.051,7.101
08/02/2023,7.043,7.075,7.043,7.051
08/01/2023,7.094,7.094,7.056,7.056
07/31/23,7.073,7.129,7.073,7.129
07/28/23,6.899,7.125,6.899,7.073
07/27/23,7.019,7.033,7.019,7.03
07/26/23,7.028,7.06,7.001,7.03
07/25/23,7.002,7.04,7.002,7.028
07/24/23,7,7.037,7,7.002
07/21/23,7.045,7.052,7,7
07/20/23,7.022,7.045,6.978,6.978
07/19/23,6.982,7.025,6.982,7.019
07/18/23,6.985,7.04,6.982,6.982
07/17/23,7.067,7.067,6.991,6.997
07/14/23,7.016,7.064,7.016,7.023
07/13/23,7.066,7.066,7.005,7.016
07/12/2023,7.032,7.077,7.032,7.06
07/11/2023,7.052,7.052,7.029,7.032
07/10/2023,7.076,7.107,7.067,7.078
07/07/2023,7.051,7.105,7.051,7.07
07/06/2023,7.015,7.074,7.015,7.063
07/05/2023,7.029,7.037,7.023,7.032
07/04/2023,7.021,7.035,7.018,7.029
07/03/2023,7.025,7.033,6.993,7.027
06/30/23,6.95,7.03,6.95,7.03
06/28/23,6.94,6.955,6.927,6.95
06/27/23,6.94,6.962,6.94,6.951
06/26/23,6.924,6.943,6.915,6.94
06/23/23,6.946,6.986,6.918,6.918
06/22/23,6.92,6.946,6.916,6.946
06/21/23,6.899,6.932,6.899,6.92
06/20/23,6.894,6.947,6.894,6.899
06/19/23,6.909,6.917,6.894,6.894
06/16/23,6.907,6.942,6.907,6.909
06/15/23,6.899,6.908,6.899,6.907
06/14/23,6.887,6.934,6.887,6.889
06/13/23,6.924,6.924,6.887,6.887
06/12/2023,6.916,6.973,6.916,6.935
06/09/2023,6.909,6.954,6.909,6.916
06/08/2023,6.862,6.947,6.862,6.947
06/07/2023,6.838,6.862,6.838,6.862
06/06/2023,6.869,6.887,6.838,6.838
06/05/2023,6.866,6.869,6.863,6.869
06/02/2023,6.843,6.872,6.843,6.845
06/01/2023,6.847,6.854,6.838,6.838
05/31/23,6.866,6.866,6.863,6.863
05/30/23,6.893,6.911,6.866,6.866
05/29/23,6.896,6.899,6.893,6.893
05/26/23,6.9,6.951,6.896,6.896
05/25/23,6.902,6.941,6.9,6.9
05/24/23,6.901,6.902,6.901,6.902
05/23/23,6.822,6.912,6.822,6.868
05/22/23,6.865,6.865,6.822,6.822
05/19/23,6.874,6.897,6.832,6.865
05/18/23,6.852,6.901,6.852,6.896
05/17/23,6.88,6.897,6.848,6.866
05/16/23,6.894,6.907,6.879,6.879
05/15/23,6.903,6.921,6.894,6.894
05/12/2023,6.899,6.935,6.899,6.924
05/11/2023,6.91,6.912,6.896,6.901
05/10/2023,6.908,6.91,6.899,6.91
05/09/2023,6.9,6.934,6.897,6.924
05/08/2023,6.903,6.932,6.893,6.895
05/04/2023,6.879,6.983,6.877,6.903
05/03/2023,6.919,6.921,6.868,6.916
05/02/2023,6.909,6.945,6.909,6.945
05/01/2023,6.909,6.909,6.909,6.909
04/28/23,6.897,6.927,6.895,6.911
04/27/23,6.906,6.96,6.903,6.903
04/26/23,6.955,6.958,6.89,6.899
04/25/23,6.896,6.956,6.896,6.919
04/24/23,6.89,6.901,6.875,6.896
04/21/23,6.893,6.951,6.893,6.897
04/20/23,6.94,6.94,6.914,6.916
04/19/23,6.939,6.953,6.938,6.953
