Date, Open, High, Low, Close
11/12/24, 4.417, 4.526, 4.417, 4.526
11/11/24, 4.435, 4.480, 4.399, 4.417
11/08/24, 4.465, 4.465, 4.351, 4.435
11/07/24, 4.513, 4.549, 4.418, 4.465
11/06/24, 4.503, 4.557, 4.427, 4.513
11/05/24, 4.441, 4.558, 4.434, 4.503
11/04/24, 4.438, 4.498, 4.390, 4.441
11/01/24, 4.448, 4.501, 4.338, 4.438
10/31/24, 4.320, 4.573, 4.320, 4.448
10/30/24, 4.262, 4.420, 4.122, 4.320
10/29/24, 4.239, 4.272, 4.185, 4.262
10/28/24, 4.166, 4.244, 4.117, 4.239
10/25/24, 4.158, 4.174, 4.110, 4.166
10/24/24, 4.104, 4.179, 4.087, 4.158
10/23/24, 4.089, 4.131, 4.067, 4.104
10/22/24, 4.055, 4.097, 4.024, 4.089
10/21/24, 4.001, 4.061, 3.994, 4.055
10/18/24, 4.046, 4.072, 3.989, 4.001
10/17/24, 4.029, 4.073, 4.015, 4.046
10/16/24, 4.136, 4.136, 4.011, 4.029
10/15/24, 4.177, 4.192, 4.117, 4.136
10/14/24, 4.173, 4.213, 4.152, 4.177
10/11/24, 4.191, 4.243, 4.150, 4.173
10/10/24, 4.194, 4.274, 4.181, 4.191
10/09/24, 4.203, 4.212, 4.149, 4.194
10/08/24, 4.233, 4.261, 4.177, 4.203
10/07/24, 4.141, 4.249, 4.141, 4.233
10/04/24, 3.975, 4.152, 3.975, 4.141
10/03/24, 4.013, 4.013, 3.954, 3.975
10/02/24, 3.953, 4.055, 3.953, 4.013
10/01/24, 3.997, 4.010, 3.913, 3.953
09/30/24, 3.945, 4.014, 3.945, 3.997
09/27/24, 3.977, 3.996, 3.916, 3.945
09/26/24, 3.981, 3.995, 3.928, 3.977
09/25/24, 3.916, 3.994, 3.889, 3.981
09/24/24, 3.918, 3.993, 3.898, 3.916
09/23/24, 3.933, 3.975, 3.864, 3.918
09/20/24, 3.929, 3.961, 3.902, 3.933
09/19/24, 3.914, 3.974, 3.860, 3.929
09/18/24, 3.834, 3.929, 3.834, 3.914
09/17/24, 3.793, 3.857, 3.763, 3.834
09/16/24, 3.808, 3.816, 3.772, 3.793
09/13/24, 3.825, 3.833, 3.784, 3.808
09/12/24, 3.811, 3.836, 3.772, 3.825
09/11/24, 3.865, 3.865, 3.770, 3.811
09/10/24, 3.890, 3.938, 3.852, 3.865
09/09/24, 3.963, 4.017, 3.889, 3.890
09/06/24, 4.007, 4.042, 3.924, 3.963
09/05/24, 4.040, 4.040, 3.987, 4.007
09/04/24, 3.760, 4.068, 3.760, 4.040
09/03/24, 3.751, 3.770, 3.678, 3.760
09/02/24, 3.755, 3.787, 3.748, 3.751
08/30/24, 3.730, 3.761, 3.675, 3.755
08/29/24, 3.737, 3.751, 3.691, 3.730
08/28/24, 3.712, 3.755, 3.693, 3.737
08/27/24, 3.687, 3.752, 3.687, 3.712
08/26/24, 3.687, 3.687, 3.687, 3.687
08/23/24, 3.727, 3.753, 3.677, 3.687
08/22/24, 3.666, 3.732, 3.655, 3.727
08/21/24, 3.697, 3.725, 3.663, 3.666
08/20/24, 3.685, 3.727, 3.685, 3.697
08/19/24, 3.676, 3.719, 3.644, 3.685
08/16/24, 3.668, 3.694, 3.631, 3.676
08/15/24, 3.546, 3.685, 3.546, 3.668
08/14/24, 3.602, 3.602, 3.532, 3.546
08/13/24, 3.636, 3.663, 3.585, 3.602
08/12/24, 3.637, 3.686, 3.629, 3.636
